date,downloads, data
2015-08-06,513474,4.91251
2015-08-07,268983,2.60737
2015-08-08,144077,1.26566
2015-08-09,135277,1.18483
2015-08-10,290880,2.59762
2015-08-11,302999,2.90308
2015-08-12,293743,2.84587
2015-08-13,300923,3.07331
2015-08-14,281184,2.5476
2015-08-15,148635,1.29365
2015-08-16,142615,1.28638
2015-08-17,289802,2.78283
2015-08-18,319480,3.1544
2015-08-19,317376,3.13171
2015-08-20,313793,3.1197
2015-08-21,293430,2.96267
2015-08-22,162605,1.57873
2015-08-23,170347,1.66015
2015-08-24,314098,3.16804
2015-08-25,329700,3.40136
2015-08-26,319161,3.2775
2015-08-27,320571,3.2612
2015-08-28,294644,3.00417
2015-08-29,151258,1.43508
2015-08-30,159994,1.67019
2015-08-31,294144,3.09441
2015-09-01,33301,0.361156
2015-09-21,284407,2.98243
2015-09-22,379901,3.99748
2015-09-23,374408,3.91513
2015-09-24,363805,3.82665
2015-09-25,334885,3.55488
2015-09-26,176106,1.72742
2015-09-27,174296,1.73108
2015-09-28,346513,3.57871
2015-09-29,369744,3.83198
2015-09-30,371322,3.95209
2015-10-01,355936,3.73951
2015-10-02,327162,3.46036
2015-10-03,165022,1.65654
2015-10-04,163639,1.62007
2015-10-05,364143,3.72831
2015-10-06,375118,3.82246
2015-10-07,380505,3.83244
2015-10-08,400825,3.98254
2015-10-09,343780,3.41116
2015-10-10,174977,1.61271
2015-10-11,173843,1.6592
2015-10-12,344195,3.34421
2015-10-13,173302,1.60123
2015-10-14,361539,3.49515
2015-10-15,397274,3.86602
2015-10-16,372997,3.58876
2015-10-17,188865,1.77812
2015-10-18,188872,1.78138
2015-10-19,380290,3.70989
2015-10-20,394756,3.9006
2015-10-21,391571,3.9077
2015-10-22,390877,3.8436
2015-10-23,343802,3.39938
2015-10-24,205525,1.85237
2015-10-25,193052,1.77063
2015-10-26,408144,4.01756
2015-10-27,403468,3.89874
2015-10-28,409251,4.02357
2015-10-29,413403,4.02089
2015-10-30,383537,3.65391
2015-10-31,193458,1.75105
2015-11-01,220059,1.9562
2015-11-02,427098,4.01399
2015-11-03,410959,3.85515
2015-11-04,412064,3.80579
2015-11-05,417195,3.93167
2015-11-06,360260,3.42688
2015-11-07,195948,1.73444
2015-11-08,204879,1.82256
2015-11-09,406290,3.74142
2015-11-10,399431,3.72668
2015-11-11,392254,3.70318
2015-11-12,396226,3.6488
2015-11-13,361864,3.30209
2015-11-14,188118,1.67898
2015-11-15,207938,1.83237
2015-11-16,399946,3.67876
2015-11-17,421781,3.83916
2015-11-18,418086,3.73067
2015-11-19,428726,3.85315
2015-11-20,377253,3.45117
2015-11-21,203062,1.72536
2015-11-22,209366,1.80912
2015-11-23,411152,3.44086
2015-11-24,470850,3.81257
2015-11-25,408779,3.36932
2015-11-26,333528,2.6578
2015-11-27,308043,2.44885
2015-11-28,200294,1.61144
2015-11-29,216800,1.73305
2015-11-30,434759,3.49813
2015-12-01,453101,3.70036
2015-12-02,427776,3.49369
2015-12-03,436390,3.51614
2015-12-04,444273,3.40273
2015-12-05,219471,1.7248
2015-12-06,236638,1.88185
2015-12-07,449750,3.70889
